module,reg_type,reg_address,reg_bit_flag,reg_value,min_value,max_value,error_value,default_value,resolution,simulation,reg_value_simulation,reg_value_slave
TEMPERATURE_SENSING1,HR,0,16,2490,-50,500,1,99,0.1,True,2490,1
TEMPERATURE_SENSING2,HR,1,16,2860,-50,500,1,99,0.1,True,2860,1
TEMPERATURE_SENSING3,HR,2,16,210,-50,500,1,99,0.1,True,210,1
TEMPERATURE_SENSING4,HR,3,16,4180,-50,500,1,99,0.1,True,4180,1
CURRENT_SENSING1,HR,4,16,1690,0,200,1,70,0.1,True,1690,1
CURRENT_SENSING2,HR,5,16,1110,0,200,1,70,0.1,True,1110,1
CURRENT_SENSING3,HR,6,16,320,0,200,1,70,0.1,True,320,1
POWER_SENSING,HR,7,16,71,0,200,1,240,1.0,True,71,1
TACO_MONITOR1,HR,8,16,4,0,500,1,300,1.0,True,4,1
TACO_MONITOR2,HR,9,16,812,0,1000,1,300,1.0,True,812,1
TACO_MONITOR3,HR,10,16,286,0,1000,1,300,1.0,True,286,1
TACO_MONITOR4,HR,11,16,802,0,1000,1,300,1.0,True,802,1
TACO_MONITOR5,HR,12,16,206,0,1000,1,300,1.0,True,206,1
TACO_MONITOR6,HR,13,16,148,0,1000,1,300,1.0,True,148,1
TACO_MONITOR7,HR,14,16,433,0,1000,1,300,1.0,True,433,1
TACO_MONITOR8,HR,15,16,808,0,1000,1,300,1.0,True,808,1
TACO_MONITOR9,HR,16,16,387,0,1000,1,300,1.0,True,387,1
TACO_MONITOR10,HR,17,16,144,0,1000,1,300,1.0,True,144,1
TACO_MONITOR11,HR,18,16,927,0,1000,1,300,1.0,True,927,1
TACO_MONITOR12,HR,19,16,206,0,1000,1,300,1.0,True,206,1
FAULT_MONITOR1,HR,20,0,1,0,1,1,1,1.0,True,14675,1
FAULT_MONITOR2,HR,20,1,1,0,1,1,1,1.0,True,14675,1
FAULT_MONITOR3,HR,20,2,0,0,1,1,1,1.0,True,14675,1
TACO_MONITOR_FAULT1,HR,20,3,0,0,1,1,1,1.0,True,14675,1
TACO_MONITOR_FAULT2,HR,20,4,1,0,1,1,1,1.0,True,14675,1
TACO_MONITOR_FAULT3,HR,20,5,0,0,1,1,1,1.0,True,14675,1
TACO_MONITOR_FAULT4,HR,20,6,1,0,1,1,1,1.0,True,14675,1
TACO_MONITOR_FAULT5,HR,20,7,0,0,1,1,1,1.0,True,14675,1
TACO_MONITOR_FAULT6,HR,20,8,1,0,1,1,1,1.0,True,14675,1
TACO_MONITOR_FAULT7,HR,20,9,0,0,1,1,1,1.0,True,14675,1
TACO_MONITOR_FAULT8,HR,20,10,0,0,1,1,1,1.0,True,14675,1
TACO_MONITOR_FAULT9,HR,20,11,1,0,1,1,1,1.0,True,14675,1
TACO_MONITOR_FAULT10,HR,20,12,1,0,1,1,1,1.0,True,14675,1
TACO_MONITOR_FAULT11,HR,20,13,1,0,1,1,1,1.0,True,14675,1
TACO_MONITOR_FAULT12,HR,20,14,0,0,1,1,1,1.0,True,14675,1
VOLTAGE_HIGH,HR,21,0,1,0,1,1,1,1.0,True,45,1
VOLTAGE_LOW,HR,21,1,0,0,1,1,1,1.0,True,45,1
G1_CURRENT_HIGH,HR,21,2,1,0,1,1,1,1.0,True,45,1
G2_CURRENT_HIGH,HR,21,3,1,0,1,1,1,1.0,True,45,1
G3_CURRENT_HIGH,HR,21,4,0,0,1,1,1,1.0,True,45,1
TEMPERATURE_ZONE1_HIGH,HR,21,5,1,0,1,1,1,1.0,True,45,1
TEMPERATURE_ZONE2_HIGH,HR,21,6,0,0,1,1,1,1.0,True,45,1
TEMPERATURE_ZONE3_HIGH,HR,21,7,0,0,1,1,1,1.0,True,45,1
TEMPERATURE_ZONE4_HIGH,HR,21,8,0,0,1,1,1,1.0,True,45,1
